Skew Scale,Structure ID,Unique Structures,Alpha,Power,Probability of Structure,Expected Observations,Minimum Required Sample Size
0.5,14,1000,0.05,0.9,0.0009751185718558489,9751.185718558489,23
0.5,15,1000,0.01,0.8,0.0027667255872215494,27667.255872215494,26
0.5,15,1000,0.01,0.9,0.0027667255872215494,27667.255872215494,32
0.5,15,1000,0.05,0.8,0.0027667255872215494,27667.255872215494,17
0.5,15,1000,0.05,0.9,0.0027667255872215494,27667.255872215494,23
0.5,16,1000,0.01,0.8,0.0016524838822886954,16524.838822886955,26
0.5,16,1000,0.01,0.9,0.0016524838822886954,16524.838822886955,32
0.5,16,1000,0.05,0.8,0.0016524838822886954,16524.838822886955,17
0.5,16,1000,0.05,0.9,0.0016524838822886954,16524.838822886955,23
0.5,17,1000,0.01,0.8,5.036991923829506e-05,503.69919238295057,26
0.5,17,1000,0.01,0.9,5.036991923829506e-05,503.69919238295057,32
0.5,17,1000,0.05,0.8,5.036991923829506e-05,503.69919238295057,17
0.5,17,1000,0.05,0.9,5.036991923829506e-05,503.69919238295057,23
0.5,18,1000,0.01,0.8,0.004589331992480773,45893.31992480773,26
0.5,18,1000,0.01,0.9,0.004589331992480773,45893.31992480773,32
0.5,18,1000,0.05,0.8,0.004589331992480773,45893.31992480773,17
0.5,18,1000,0.05,0.9,0.004589331992480773,45893.31992480773,23
0.5,19,1000,0.01,0.8,0.001910943695930705,19109.43695930705,26
0.5,19,1000,0.01,0.9,0.001910943695930705,19109.43695930705,32
0.5,19,1000,0.05,0.8,0.001910943695930705,19109.43695930705,17
0.5,19,1000,0.05,0.9,0.001910943695930705,19109.43695930705,23
0.5,20,1000,0.01,0.8,0.004506341541213415,45063.41541213415,26
0.5,20,1000,0.01,0.9,0.004506341541213415,45063.41541213415,32
0.5,20,1000,0.05,0.8,0.004506341541213415,45063.41541213415,17
0.5,20,1000,0.05,0.9,0.004506341541213415,45063.41541213415,23
0.5,21,1000,0.01,0.8,0.002304864839394288,23048.648393942876,26
0.5,21,1000,0.01,0.9,0.002304864839394288,23048.648393942876,32
0.5,21,1000,0.05,0.8,0.002304864839394288,23048.648393942876,17
0.5,21,1000,0.05,0.9,0.002304864839394288,23048.648393942876,23
0.5,22,1000,0.01,0.8,0.0011755531333401178,11755.531333401177,26
0.5,22,1000,0.01,0.9,0.0011755531333401178,11755.531333401177,32
0.5,22,1000,0.05,0.8,0.0011755531333401178,11755.531333401177,17
0.5,22,1000,0.05,0.9,0.0011755531333401178,11755.531333401177,23
0.5,23,1000,0.01,0.8,0.0003721666418340173,3721.666418340173,26
0.5,23,1000,0.01,0.9,0.0003721666418340173,3721.666418340173,32
0.5,23,1000,0.05,0.8,0.0003721666418340173,3721.666418340173,17
0.5,23,1000,0.05,0.9,0.0003721666418340173,3721.666418340173,23
0.5,24,1000,0.01,0.8,0.001519870936025811,15198.709360258112,26
0.5,24,1000,0.01,0.9,0.001519870936025811,15198.709360258112,32
0.5,24,1000,0.05,0.8,0.001519870936025811,15198.709360258112,17
0.5,24,1000,0.05,0.9,0.001519870936025811,15198.709360258112,23
0.5,25,1000,0.01,0.8,0.0010868030651783357,10868.030651783358,26
0.5,25,1000,0.01,0.9,0.0010868030651783357,10868.030651783358,32
0.5,25,1000,0.05,0.8,0.0010868030651783357,10868.030651783358,17
0.5,25,1000,0.05,0.9,0.0010868030651783357,10868.030651783358,23
0.5,26,1000,0.01,0.8,0.002243882025676017,22438.82025676017,26
0.5,26,1000,0.01,0.9,0.002243882025676017,22438.82025676017,32
0.5,26,1000,0.05,0.8,0.002243882025676017,22438.82025676017,17
0.5,26,1000,0.05,0.9,0.002243882025676017,22438.82025676017,23
0.5,27,1000,0.01,0.8,0.000317761924229528,3177.61924229528,26
